training_cost,training_accuracy,testing_cost,testing_accuracy
1.9258064,0.43353784,1.8516583,0.45310014
0.72638017,0.72392637,0.79259956,0.68839425
0.30907083,0.922972,0.4972718,0.8346582
0.20200747,0.9556919,0.4464416,0.8569157
0.13300844,0.9700068,0.39710858,0.86963433
0.10345024,0.9795501,0.38451108,0.8680445
0.083365865,0.9795501,0.38948065,0.87599367
0.0902224,0.98295844,0.39683092,0.8839428
0.070377216,0.98295844,0.38240886,0.87758344
0.06585703,0.9843218,0.49437094,0.87122416
0.053899523,0.9877301,0.43845963,0.86963433
0.04012161,0.9904567,0.40502366,0.87599367
0.037997358,0.9911384,0.4150349,0.8807631
0.032259624,0.9931834,0.4260522,0.8855326
0.030805206,0.9945467,0.44257975,0.87758344
0.023332532,0.9945467,0.41531634,0.8871224
0.02266999,0.9945467,0.4319203,0.8871224
0.025421115,0.9931834,0.42242107,0.8807631
0.025630083,0.9931834,0.44068944,0.88235295
0.026489187,0.99522835,0.4095013,0.87440383
